Soil_Moisture	PD_MD	SWE_MD	Soil_Moisture	PD_MD	SWE_MD	Soil_Moisture	PD_MD	SWE_MD
0.20464519	1.8746973	0.38364777	0.07674063	3.8602242	0.29623604	0.09745138	3.36167	0.32759938
0.14458752	2.5012252	0.36164594	0.09346377	3.4173632	0.31939965	0.14533807	2.5705285	0.37359565
0.15694158	2.3440158	0.36787355	0.08686371	3.5899875	0.31183964	0.16958293	2.2755642	0.38589686
0.17363708	2.159002	0.37488282	0.11850157	2.8923526	0.3427483	0.18680072	2.13624	0.39905116
0.08450994	3.7023807	0.31288797	0.096303485	3.3632443	0.32389215	0.19200583	2.1030543	0.40379867
0.15533315	2.3596776	0.36653614	0.083275855	3.7125528	0.309166	0.17317541	2.237715	0.3875172
0.14146219	2.540461	0.3593792	0.08080377	3.7602043	0.30383867	0.14605519	2.557534	0.37354112
0.14146219	2.540461	0.3593792	0.06006899	4.4869394	0.26952592	0.12411944	2.8577201	0.35469863
0.1450118	2.4923515	0.36142036	0.059959643	4.4523005	0.26695836	0.09405498	3.4320796	0.32280418
0.15752931	2.3323169	0.36740828	0.091075	3.484671	0.31736642	0.118078224	2.9215155	0.34496737
0.2717336	1.4716946	0.3999089	0.1002425	3.2922976	0.33002815	0.13342538	2.6851754	0.35827056
0.26726294	1.5013614	0.40125826	0.091039225	3.4892097	0.31765494	0.1376247	2.6636384	0.36658242
0.17870271	2.1051855	0.37620237	0.10034778	3.2987976	0.331027	0.17879334	2.2277088	0.39829952
0.15995292	2.3001075	0.36790892	0.08623734	3.6087582	0.3112097	0.18967181	2.1163437	0.40141076
0.25808188	1.5396612	0.39735866	0.11864306	2.9496644	0.3499572	0.17908166	2.1185377	0.37939125
0.19535342	1.9525033	0.3814282	0.1205765	2.893905	0.34893692	0.1795145	2.1393363	0.38404188
0.16465025	2.249797	0.37042964	0.15608655	2.4081147	0.3758743	0.1482497	2.522446	0.37395185
0.21915595	1.7664815	0.38713494	0.14619964	2.5737467	0.37628084	0.2079819	1.9938529	0.4146853
0.1591005	2.3144357	0.3682279	0.116852544	3.0172853	0.35257748	0.18459557	2.1944935	0.4050938
0.20358452	1.8915441	0.3850891	0.108911686	3.1633613	0.344527	0.2266082	1.737833	0.3938072
0.30699974	1.3279655	0.40768507	0.12661667	2.8631299	0.36251998	0.15895295	2.3359928	0.37131295
0.21080789	1.8330792	0.38642755	0.13173237	2.785013	0.36687636	0.187675	2.0497162	0.38468048
0.17227681	2.1674795	0.37340647	0.11622242	3.009195	0.34973595	0.2196282	1.7910062	0.39335546
0.24970491	1.5707358	0.39222044	0.105431475	3.2420194	0.34181088	0.20699705	1.9036019	0.39404
0.17894012	2.0991576	0.3756235	0.104563564	3.2608485	0.34096596	0.18722354	2.1028397	0.3937011
0.14399906	2.5088587	0.3612733	0.08565102	3.6507535	0.31269076	0.18690772	2.0634284	0.3856707
0.13221756	2.6882825	0.35543814	0.12912296	2.7725892	0.35800493	0.19492532	1.9783661	0.38563365
0.15036376	2.4192991	0.3637749	0.14338869	2.5930567	0.371815	0.18061635	2.109489	0.3810082
0.34508848	1.1732523	0.40487587	0.092330635	3.4677281	0.32017753	0.18199514	2.127444	0.38718447
0.2492675	1.5804255	0.39394873	0.0721897	4.003071	0.28898048	0.19208649	2.0192487	0.3878704
0.24391586	1.6140422	0.39369047	0.07597906	3.8852634	0.29519868	0.18474425	2.0660431	0.3816896
0.21683863	1.798932	0.39007795	0.100014776	3.3351724	0.33356652	0.18628033	2.049142	0.38171482
0.22327447	1.7482817	0.39034668	0.09919361	3.3480935	0.33210948	0.1770022	2.1526787	0.3810289
0.22896533	1.7113492	0.39183965	0.115426205	3.0298135	0.34971988	0.2085789	1.8663967	0.38929096
0.21183744	1.830268	0.3877193	0.097992375	3.3773663	0.33095616	0.15977697	2.3705738	0.37876308
0.27913606	1.4238913	0.39745942	0.093752734	3.4579847	0.32419553	0.16631515	2.2898426	0.38083553
0.21406122	1.814673	0.3884511	0.114755444	3.021827	0.3467711	0.1876339	2.1233191	0.39840665
0.29097736	1.3813094	0.40192977	0.11279959	3.0222108	0.34090415	0.16167814	2.4142783	0.390336
0.2820497	1.4113463	0.3980698	0.119285025	2.8774898	0.34324145	0.10176341	3.2245033	0.32813644
0.08183312	3.791565	0.31027558	0.10268941	3.2697663	0.33577037	0.106235705	3.1957707	0.33950496
0.1647523	2.2571402	0.37186906	0.13349497	2.7581682	0.36820158	0.08472334	3.6069198	0.30559027
0.14271706	2.5236855	0.360173	0.11913867	2.9593856	0.35257727	0.13710989	2.673501	0.36656344
0.2608096	1.5087364	0.39349294	0.120599866	2.901682	0.34994245	0.120664775	2.9287133	0.35339254
0.24768694	1.6007235	0.3964783	0.07193523	4.0175786	0.28900543	0.18474425	2.0660431	0.3816896
